Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Details: Program Category,Information: Tagline,Information: Quote,Information: Quote Source,Information: Program Description,Information: Special Notes,Details: Date Text,Details: Time Text,Details: Listing Day and Time Text,Details: Location Text,Details: Location Link,Details: Dana Text,Registration: SIGNED-OUT Instructions,Registration: SIGNED-IN Instructions,Registration: Required?,Registration Closed,Collection: Teacher/Facilitator(s),Dashboard: Special Announcement,Dashboard: Early Arrival Message,Dashboard: Remove From Program List,Hide from Program Page List,Sorting: Day of the Week,Sorting: Sort Order,Large Program Image,Day Filtering,Fillout Registration Form,Event Time,Zoom Link,Zoom Link Link Text
Mindful Yoga,mindful-yoga,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,661c605018ed7d69bf6b8e46,true,false,Sun Apr 14 2024 23:01:36 GMT+0000 (Coordinated Universal Time),Mon Jul 22 2024 19:04:00 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,Mindfulness of the Body Practice,"""We can learn to trust the refuge of our own body.""",Cyndi Lee,"<h4 id="""">About this Course</h4><p id="""">Moving the body mindfully, with right effort and right intention, can be a beautiful support to deepening your meditation practice. Mindful Yoga can be a type of mindfulness of the body meditation practice—a gentle, supportive way to bring the body closer to its natural state of harmony and balance.<br></p><p id="""">This practice provides the opportunity to care for the physical body and create the conditions that cultivate and strengthen mind-body awareness. Slow, gentle movement with deep awareness can enrich our inner experience, strengthen self-regulation, and help release different forms of stress that often create dis-ease in the body. Mindful Yoga gives rise to awareness, concentration, and insight.</p><p id="""">During this 4-week offering, we will explore moving and caring for the body in relationship to the four elements of earth, air, fire, and water. &nbsp;In each class, there will be an invitation to set our intention on cultivating a compassionate relationship with the true nature of the body. </p><p id="""">We welcome both new and experienced practitioners to join us as we explore and deepen our meditation and Yoga practice together.<br></p>",,"4 Thursdays | July 25, Aug 1, 8, 15",6:00 pm - 7:15 pm (CT),"4 Thursdays | July 25, Aug 1, 8, 15 | 6:00 pm - 7:15 pm (CT) ",Special Location: United Unitarian Universalist Congregation 506 N. Washington Ave Waukesha,https://maps.app.goo.gl/kZthzjqzkFR2Q1KaA,Suggested Donation: $80,"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and go to your dashboard. </p>","<p id="""">Are you interested in participating in this course? Great! Please register below.</p>",true,false,amy-gardner,,,true,false,thursday,1.5,https://uploads-ssl.webflow.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,Thursday,45r6zP1BhMus,,,
Mindfulness and Sacred Clarity Workshop,sacred-clarity,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,6871205f4171f6b8cae68bbc,true,false,Fri Jul 11 2025 14:31:59 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 12:40:45 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,Taking Care Through Meditation and Mindful Living,"""The mind is like water. When it's turbulent, it's difficult to see. Remove the turbulence and you will see clarity."" ",Thich Nhat Hanh,"<h3 id="""">About This Workshop</h3><p id="""">We're living in challenging times that affect us deeply. Yet even amidst struggle, we seek to live fully—caring for ourselves, others, and our world. This practice invites us to turn toward the source of both our difficulties and our wellbeing: our hearts and minds.</p><p id=""""><strong id="""">Sacred Clarity</strong> means seeing through confusion and reactivity—not by withdrawing from life, but by meeting it with understanding, care, and presence. We use 'sacred' in its most universal sense—honoring the profound in everyday life, the precious in each moment. It's a deeply human clarity that helps us live true to what matters most.</p><h3 id="""">Who Should Attend</h3><p id="""">Whether you're just beginning or deepening a lifelong practice, this workshop is for you. It's for anyone curious about living with clarity—for their own benefit and for the wider world.</p><h3 id="""">What We'll Explore</h3><p id="""">In this supportive workshop, you'll learn to:</p><ul id=""""><li id="""">Establish or deepen a meditation practice grounded in compassion and clarity</li><li id="""">Integrate mindfulness into daily life for wiser, more wholehearted living</li><li id="""">Navigate personal and collective challenges with steadiness and discernment</li><li id="""">Recognize and nurture goodness and beauty, even in difficult times</li></ul><p id="""">We'll work with the Mindfulness-Based C.A.R.E. Framework—an accessible method for bringing these teachings into everyday life.</p><h3 id="""">An Invitation</h3><p id="""">This isn't about escaping reality but turning toward it—together. Come as you are, whether beginning your journey or renewing your commitment.</p><p id="""">For your wellbeing. For others. For the world we're all shaping.</p><p id=""""><em id="""">All who feel drawn to awakening Sacred Clarity are welcome.</em></p>","<p id="""">This workshop meets you where you are—offering beginners a gentle foundation and experienced practitioners fresh depth. If you feel drawn to awakening Sacred Clarity, you belong here.</p>","Saturday, August 16",11:30 AM – 3:30 PM,"Saturday, August 16 | 11:30 AM – 3:30 PM",Rooted In Mindfulness | In Person Only,https://maps.app.goo.gl/2kTpvyjQd3epnTGD8,Suggested Program Dana (Donation) - $125,"<p id="""">Registration is Closed.</p><p id="""">‍</p><p id="""">‍</p>","<p id="""">Registration is Closed.</p>",true,true,jesse-foy,,,true,false,saturday,6.3,,Saturday,uraCdH3MAous,11:30 AM,,
Mindfulness in Nature: A Half-Day Retreat,mindfulness-in-nature-a-half-day-retreat,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,67ace1d05a06c5af7300a0ed,true,false,Wed Feb 12 2025 18:00:48 GMT+0000 (Coordinated Universal Time),Sat Mar 22 2025 22:21:18 GMT+0000 (Coordinated Universal Time),,retreats-workshops,Retreats strengthen formal practice and mindful living. ,"“Nature is not a place to visit, it’s a place to come home to.”",Gary Snyder,"<p id=""""><strong id="""">Step out of the habitual patterns of daily life—a life often obscured by reactivity, distraction, and disconnection—and immerse yourself in the rejuvenating atmosphere of nature at our half-day nature bathing retreat, inspired by the Japanese practice of shinrin-yoku. </strong></p><p id=""""><strong id="""">Generously hosted at a tranquil lake house near Port Washington on the beautiful shores of Lake Michigan by a RIM Community member, this sanctuary invites you to unplug and tune in to the beauty of the season with all your senses, fostering a more authentic relationship with yourself and your life.</strong></p><ul id=""""><li id="""">Nature Immersion: Engage all your senses as you become truly present, immersing yourself in the truth, beauty, and energy of the season. Experience the healing powers of nature, a medicine we embrace with our whole being — through our five senses and with open hearts and minds. Let nature remind you of what is true and important, illuminating your inner self as you connect with the greater whole.</li><li id="""">Digital Detox: Distance yourself from daily distractions, nurture kindness, and care for yourself in a supportive environment that encourages awakening to your more authentic self.</li><li id="""">Simple Guided Meditations &amp; Self-Reflections: Through guided meditations and self-reflection, open yourself to the profound wisdom held within the natural laws of nature. Create a space to rediscover what's important, breaking free from habitual patterns and opening up to the richness and fullness of life.</li><li id="""">Gratitude and Presence: Cultivate a spirit of gratitude and presence. Discover ways to realize greater well-being and happiness as you open up to your inner and outer nature, finding methods to integrate them into your daily life.</li></ul>","<h4 id="""">Notes About this Retreat:</h4><p id="""">This retreat will take place at a special location in Port Washington. When you register, you will receive detailed directions to this beautiful, peaceful lake house.</p><p id=""""><strong id="""">What to bring</strong>:</p><ul id=""""><li id="""">Suitable attire for walking outdoors ~ There will also be periods of indoor practice.</li><li id="""">A journal or sketchbook for reflection, if desired.</li></ul><p id=""""><strong id="""">Note:</strong> A light vegetarian lunch will be provided. Please let us know if you have any special dietary restrictions.</p><p id=""""><strong id="""">Capacity:</strong>&nbsp;25 Attendees</p><p id="""">Join us for a transformative journey into the season's embrace. Learn, through simply being present with open hearts and minds, to unearth your potential for real happiness and well-being. Rediscover your connection to the larger whole, nourished by the grounding experience of mindfulness in nature.</p>","Sunday, Mar 16, 2024",9:30 am - 3:30 pm,Sunday | Mar 16 | 9:30 am - 3:30 pm (CT) ,"Lake house in Port Washington, Wisconsin. The address will be given in your registration confirmation email.",,Suggested Program Dana (Donation) - $125,"<p id="""">Registration Is Closed.</p><p id="""">‍</p>","<p id="""">Registration Is Closed.</p><p id="""">‍</p><p id="""">‍</p><p id="""">‍</p><p id="""">‍</p>",true,true,amy-gardner,Registration Is Closed.,,true,false,sunday,7.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Sunday,8qFjU3RuxDus,,,
Naikan: A Practice of Healing through Deep Looking,naikan-a-practice-of-healing-through-deep-looking,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,696422a13d28a5d59b9d21a2,true,false,Sun Jan 11 2026 22:22:25 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 21:00:07 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,Saturday Workshop,“It is the familiar that usually eludes us in life. What is before our nose is what we see last.”,William Barrett,"<h3><strong>A personal note from the Facilitor (Jesse Foy):</strong></h3><p><em>Of all the practices I practice and share, Naikan holds a special place in my heart. I practice it regularly alongside loving-kindness, compassion, appreciative joy, and equanimity—but Naikan has a unique power to bring life-changing understanding and healing to how we see ourselves and everyone we're in relationship with. It's illuminating in ways that are hard to describe until you experience it: suddenly you notice what's always been there, and that noticing changes everything.</em> </p><p><em>I'm offering this workshop because I genuinely want you to have this practice in your life—not just to learn about it, but to walk away with a skill you can use immediately and return to again and again.</em></p><h3><strong>What is Naikan?</strong></h3><p>Naikan is a Japanese method of structured self-reflection—literally ""inside looking""—that helps you see your life and relationships more completely. Instead of analyzing yourself or circling the same old stories, Naikan invites you to examine specific relationships through three deceptively simple questions:</p><ol><li>What have I received from this person?</li><li>What have I given to this person?</li><li>What troubles or difficulties have I caused this person?</li></ol><h3><strong>How this 3-hour workshop works:</strong></h3><p>We'll explore the meaning and purpose of Naikan—why these questions matter and what they reveal. Then you'll practice the methods with deep intention, establishing the foundation so you can continue on your own. We won't move through all the years and people of your life (that's the work of longer retreats and an opportunity for you to do as a personal practice), but you'll experience the rhythm: quiet reflection followed by brief, supportive check-ins to help you and fellow participants understand and integrate the practice and holding space for what emerges without judgment.</p><h3><strong>What often shifts:</strong></h3><p>When you consistently ask these questions, something softens. You begin to see a fuller picture: the care you didn't register, the impact you didn't notice, the ways you've both been held and caused difficulty. This wider view often brings a quieter kind of gratitude, clearer responsibility, and more tenderness—toward yourself and others.</p><p>It's not about forcing positivity or getting rid of hard feelings. It's about seeing what else is true with greater understanding and care.</p><h3><strong>What you'll take home:</strong></h3><p>You'll leave with a practice you can use right away—as daily reflection, occasional life review, or a way to work with specific relationships when they feel stuck. Optional community support is available as you continue.</p>",<p>No prior meditation experience needed. Just willingness to spend time with your memories and see what you haven't been seeing.</p>,"Saturday, February 7",11:00 am - 2:00 pm,Saturday | February 7 | 11:00 am - 2:00 pm,Rooted In Mindfulness | In Person Only,,Suggested Program Dana (Donation) - $125,"<p>To participate in this and other RIM community programs, please <a href=""https://www.rootedinmindfulness.org/community-membership"" target=""_blank"">Create a (free) Member Account.</a> If you already have an account, sign in and register.</p><p>‍</p>",<p>Reserve your spot today. &nbsp;Please register with the form below.</p><p>‍</p>,true,false,jesse-foy,,,true,false,saturday,6.5,,Saturday,5nemX83h7gus,11:00 AM,,
Nature Meditation KM Group,nature-meditation-km-group,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,641cf4b8eb7710ab908836d5,true,false,Fri Mar 24 2023 00:54:16 GMT+0000 (Coordinated Universal Time),Mon Oct 27 2025 13:14:56 GMT+0000 (Coordinated Universal Time),,community-groups-events,Mindful Walks in Nature,"""To meditate in nature is to bring an attentiveness to the world around you and a curiosity about your inner and outer environment. To do so means to draw on the innate quality of mindfulness, which is the simple capacity to be aware, to know what is happening in your direct experience.”",Mark Coleman,"<h4 id=""""><strong id="""">Would you like to join us for mindful walks in nature?</strong>											</h4><p id="""">From the very beginning, the Buddha was intimately connected to the Earth. He left his home, lived in the forest, meditated in nature and awakened under a tree next to a river. When Mara questioned his enlightenment, the Buddha didn’t say anything. He simply touched the earth as witness to his realization.</p><p id="""">The Nature Meditation Group plans to meet once a month in different local parks to hike and meditate together, using Mark Coleman’s A Field Guide to Nature Meditation as a guide.&nbsp; These will be intentionally quiet walks with light guidance.<br></p>","<p id="""">Communication and planning …</p><ul id=""""><li id="""">Interested members of the RIM Sangha should register for the group.&nbsp;</li><li id="""">Registered members will be contacted approximately three weeks in advance with details about the next planned hike and members will be asked to RSVP for individual monthly hikes. &nbsp;<br></li></ul><p id="""">Other considerations …</p><ul id=""""><li id="""">Each of the monthly outings will take about 60 minutes, including a hike, meditation and time to discuss the experience.</li><li id="""">Group members must have the physical ability to hike on uneven terrain for about 30-45 minutes. &nbsp;</li><li id="""">Though we will try to find a place to sit for meditation, participants may wish to bring something waterproof to sit on during the meditation.&nbsp;</li><li id="""">Participants are encouraged to wear sturdy shoes, dress for changing weather and bring a water bottle and snack.&nbsp;</li><li id="""">Participants are responsible for their own transportation to/from the park and potential park entrance fees.&nbsp;</li></ul><p id="""">												</p>",Sundays | Future 2026 Events TBD,,Future 2026 Events TBD,Each Event is held in a special location | Register to receive email updates,https://maps.app.goo.gl/wAF3STdxcFfTHghK9,By Donation (Dana),"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and register. </p>","<p id="""">Are you interested?&nbsp;Great, we'd love for you to join us! Please register with the form below.</p><p id="""">‍</p>",true,false,christine-jacobi; kerry-thomas,,,false,false,sunday,7.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,Sunday,,,,
Nature Meditation KM Group,nature-meditation-km-group-2024,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65cc03f19918a43b95075f6c,false,false,Wed Feb 14 2024 00:06:09 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 17:12:55 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 17:12:55 GMT+0000 (Coordinated Universal Time),,Nature Meditation KM Group (NMKM Group) Mindful Walks in Nature,"From the very beginning, the Buddha was intimately connected to the Earth. He left his home, lived in the forest, meditated in nature and awakened under a tree next to a river.When Mara questioned his enlightenment, the Buddha didn’t say anything. He simply touched the earth as witness to his awakening.",,"<h4><strong>Would you like to join us for mindful walks in nature?</strong>												</h4><p><strong>Communication and Planning</strong></p><ul><li>All registered participants will receive one email confirmation outlining the dates, time, and location of all Nature Meditation KM Group gatherings for the 2026 season.</li><li>The gathering information will be also be posted in the RIM weekly newsletter the week prior to the event.</li><li>A reminder email will be sent to all registered participants the week prior to the event.</li><li>Registered members will receive email communication about last minute cancellations due to inclement weather. If you have invited non-members to join you, please keep them informed.</li></ul><p><strong>Other Considerations</strong></p><ul><li>Each of the monthly group gatherings will take about 75 minutes, including a walk, guided meditation(s) and time to discuss the experience.</li><li>Participants must have the physical ability to walk on uneven terrain for about 45 minutes. The pace will be slow and the trails relatively easy.</li><li>While we try to avoid areas where poison ivy is present, it is a good idea to wear closed toe shoes and socks. &nbsp;Similarly, lightweight, long sleeve tops and pants protect you from flying insects. &nbsp;</li><li>Participants are encouraged to bring bug spray, sunscreen and a water bottle.</li></ul>","<ul><li><strong>A kick-off Zoom meeting will be held on April 19, 2026 at 10:00 am.</strong></li><li>The six Sunday group gatherings will be held the last Sunday of the month. </li><li><strong>All the in-person group gatherings will be held at Menomonee Park</strong> - W220N7884 Town Line Road; Menomonee Falls, WI 53051 We will be gathering north of the Beach House in the Beach Parking Lot near Lannon Pond.</li></ul>","Sunday's | May 31, June 28, July 26, August 30, September 2, and October 25.",9:30 - 10:45 am ,"Sundays | April 19 (Zoom), May 31, June 28, July 26, August 30, September 2, and October 25. ","Menomonee Park - W220N7884 Town Line Road; Menomonee Falls, WI 53051 ",https://maps.app.goo.gl/QU9GHXvLb83yHoAU8,By Donation (Dana) to Support RIM's Mission,"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and register. </p>","<p>To participate, all you need to do is register and join us! Both returning and new members should register for the 2026 season. </p>",true,true,sam-scherer; kerry-thomas; christine-jacobi,,,true,false,sunday,7.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,Sunday,186nsqBKAJus,9:30 AM,,
Our Hearts Were Made For This,our-hearts-were-made-for-this,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,677db94dd7ca641231db58a6,false,false,Tue Jan 07 2025 23:31:25 GMT+0000 (Coordinated Universal Time),Sun Feb 22 2026 17:02:38 GMT+0000 (Coordinated Universal Time),Sun Feb 22 2026 17:02:38 GMT+0000 (Coordinated Universal Time),drop-ins-open-practice-and-learning,"Cultivating a Warm, Open, Joyful, and Loving Heart","“Radiate boundless love towards the entire world – above, below, and across – unhindered, without ill will, without enmity.”","Buddha, Karaniya Metta Sutta","<h3 id="""">About this Drop-In</h3><p id="""">We are kindness, compassion, joy, and equanimity. These qualities are not just aspirations; they are the essence of who we are. Together, we can cultivate and deepen our connection to them.</p><p id="""">Join us each Sunday as we explore the practice of LovingKindness.</p><p id="""">Our time together begins with a brief dharma talk to set the tone and frame our meditation. The guided practice will last 20-30 minutes, followed by an optional discussion—a space to ask questions, share reflections, or simply listen.</p><p id="""">Kindness, compassion, joy, and equanimity are qualities that help us meet life with courage. They guide us to be a true friend to ourselves and others, reconnecting us to an inner refuge that is always here.</p>","<p id="""">No registration is necessary for this group, which is open to all community members. Whether you are new to these practices or have been practicing for many years, you are welcome to join us as we learn and practice together. We hope you will join us and discover the benefits of cultivating greater warmth, openness, and care in your life and our shared world.</p>",Every Sunday Morning ,9:00-9:45 AM,Sundays | 9:00-9:45 am (CT) | Zoom Only ,Online (Zoom) only,,,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p id="""">As a RIM&nbsp;community member, you have access to this offering. A zoom link is accessible in your <a href=""/account/dashboard"">dashboard</a>.</p><p id=""""> </p>",false,false,sara-neall,"No Session on Sunday, Mar 1",,false,false,sunday,7,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/677db9451ccad0e007841e42_Our%20Hearts%20Were%20Made%20for%20This.png,Sunday,,,https://us06web.zoom.us/j/7745308882?pwd=ayttbkZnZ2o2byttakJDTEEzU2ZBUT09,Join Zoom
Private Teacher Meetings,private-teacher-meetings,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,60a552a40286a3db3e692e79,false,false,Wed May 19 2021 18:02:12 GMT+0000 (Coordinated Universal Time),Tue Nov 19 2024 01:12:36 GMT+0000 (Coordinated Universal Time),Tue Nov 19 2024 01:12:36 GMT+0000 (Coordinated Universal Time),,Private Practice meeting with a RIM teacher,"""First, rely on the spirit and meaning of the teachings, not on the words; Second, rely on the teachings, not on the personality of the teacher; Third, rely on real wisdom, not superficial interpretation; And fourth, rely on the essence of your pure Wisdom Mind, not on judgmental perceptions.""",Buddha,"<h3>About Private Meetings</h3><p>Private Teacher Meetings provide support and guidance to help you learn, deepen, and integrate the benefits of meditation and mindfulness into your whole life.<br></p><p>While dialogue and questions are strongly encouraged in group classes, there are times when it's not fitting to ask personal questions or explore sensitive topics within a large group setting. Sometimes, an inquiry may need more time and attention than a group setting can provide. Private meetings can be immensely supportive for anyone who is seriously committed to their practice and learning.</p><h3>Who can participate?</h3><p>Private meetings are open to all active RIM members who have already been introduced to mindfulness and meditation. We ask that you are sincere and committed to your learning and practice and prepared to engage in the inner work required for self-awareness and cultivation.</p><h3>What to Expect:</h3><p>Private meetings are held in a supportive and contemplative framework. Please know that these meetings are not therapy sessions. Nevertheless, they do provide you with an opportunity to share honestly, sincerely, and intimately about your inner and outer life experiences as they relate to your meditation and mindful living practice. </p><p>This sincere and open sharing allows the teacher to suggest relevant meditation practices, home contemplations, and traditional dharma and modern mindfulness-based teachings. </p><h3>Preparing for Your Private Meeting</h3><p>Please be mindful of your intentions for scheduling a private meeting with the teacher. These sessions are not casual meetings. Instead, they provide meaningful support for your personal and spiritual development. <br></p><p>Please download and fill out a <strong>Private Meeting Worksheet</strong> before your meeting to ensure a meaningful and supportive session.</p><h3>Meeting Duration and Frequency</h3><p>Each session is typically scheduled for a half-hour or an hour at a time. The frequency of sessions is determined on an individual basis. Sometimes one meeting is enough; other times, more frequent sessions are appropriate. </p>",,By Appointment,By Appointment,By Appointment,In-person or Zoom,,By Donation / Dana - Learn More,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. Once you have an account, simply <a href=""/login"">Sign-In</a> and schedule a private session.</p>","<p id="""">Teacher schedules are currently full. </p><p id=""""><strong id="""">Schedule with </strong><a href=""https://www.rootedinmindfulness.org/schedule/meeting-with-jesse-foy"" id=""""><strong id="""">Jesse Foy</strong></a><strong id="""">.</strong><br></p>",true,false,jesse-foy,,,true,true,,,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,,,,,
Qigong at RIM,qigong-at-rim,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,683b9e219006a799b07392bd,false,false,Sun Jun 01 2025 00:26:09 GMT+0000 (Coordinated Universal Time),Wed Jan 07 2026 15:44:31 GMT+0000 (Coordinated Universal Time),Wed Jan 07 2026 15:44:31 GMT+0000 (Coordinated Universal Time),community-groups-events,A Kalyana Mitta Group,"Body practice is the root of spiritual practice. When we calm the body, the mind can expand without limit.","Kenneth S. Cohen, The Way of Qigong: The Art and Science of Chinese Energy Healing","<p id=""""><strong id="""">What is Qigong?</strong></p><p id="""">Qigong (chee-gong) is a traditional Chinese health practice combining gentle movements, meditation, and controlled breathing to cultivate and harmonize the body's ""qi,"" a type of life energy that flows throughout the universe. </p><p id="""">An integral part of Traditional Chinese Medicine (TCM), qigong helps to restore and rebalance the body’s energy using the same meridians that are used in acupuncture. Because qigong practitioners believe that an incorrect posture can disrupt the flow of energy through these meridians, qigong invites us to become better aware of our bodies, giving ourselves friendly, supportive care on our road to better health. No matter where we are in our life’s journey, consistent practice of qigong can help to regain or sustain vitality, calm and center the mind, and maintain overall better health as we age. </p><p id=""""><strong id="""">KM Qigong at RIM</strong></p><p id="""">In this KM Qigong group, we will be introduced to one of the most famous and widely practiced qigong sets, the Eight Pieces of Brocade, or <em id="""">Baduanjin</em>. </p><p id="""">As the weeks progress, we will learn the movements and intentions of each of the exercises of the Eight Pieces, explore basic qigong concepts, and introduce ways to accommodate for range of motion challenges and other health limitations. Please join us in this journey of self-discovery as we learn new ways to take care of ourselves, both body and mind.</p><p id="""">The Qigong group will meet on Zoom every Wednesday from 10:00 to 10:45 a.m. People who miss classes are free to join when they can, as concepts and movements will be continuously re-examined along the way. </p>","<p><strong>The first class is on Wednesday, July 16. </strong></p><p id="""">For class, you will need:<br></p><ul id=""""><li id="""">Comfortable, loose clothing and shoes without substantial heels. </li><li id="""">A supportive chair, one without arm rests and which allows the feet to rest flat on the floor, is suggested for the warm-up before the qigong. </li><li id="""">As one of the Brocades steps widely to the right and then to the left, a roughly 6-foot by 4-foot square exercise space should be allowed for the safety of movements.</li></ul>",Every Wednesday | First Session on July 16,10:00-10:45 am,Wednesdays | 10:00-10:45 am,Online (Zoom) only,,,"<p id="""">To participate in this and other RIM community programs, please <a href=""https://www.rootedinmindfulness.org/community-membership"" target=""_blank"" id="""">Create a (free) Member Account.</a> If you already have an account, sign in and register.</p><p id="""">‍</p>",<p>Please register using the form below. You only need to register once to be added to this KM&nbsp;Group. </p>,true,false,maria-sprecher,,,false,false,wednesday,3.5,,Wednesday,usjibS8U7Tus,,https://us02web.zoom.us/j/86392556171?pwd=4bRhzQX5GoWml1A1RFQtLoOyh8gU9T.1,Join Zoom
RIM Greater Community Engagement,rim-greater-community-engagement,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,6994cd488c8d72148efa1cbc,false,false,Tue Feb 17 2026 20:19:20 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 20:29:05 GMT+0000 (Coordinated Universal Time),Tue Feb 17 2026 20:29:05 GMT+0000 (Coordinated Universal Time),,Off the Cushion Connections & Service,"""Once there is seeing, there must be acting.""",Thich Nhat Hanh,<h4>Service to our community awakens our hearts and minds through direct actions of compassion and generosity. By offering to serve we are practicing collective well-being. </h4><h4>Engagement is at the heart of our interconnectedness. </h4><p>‍</p>,"<h4>Please help us widen our reach!</h4><p>We are looking to support local agencies of care -- food banks, outreach services, Ronald McDonald House -- with our direct engagement. </p><p>If you have an idea for a volunteering opportunity and are interested in facilitating an event, we would love to hear from you and support you.</p><p>‍</p>",Let Us Know Where,Let Us Know When,,Let Us Know Where,,,"<p>To participate in this and other RIM community programs, please <a href=""https://www.rootedinmindfulness.org/community-membership"" target=""_blank"">Create a (free) Member Account.</a> If you already have an account, sign in and register.</p><p>‍</p>",<h4>Please fill out the form below to share your idea for the RIM&nbsp;sangha to help serve the greater community. </h4><p>We are looking forward to hearing from you. </p><p>‍</p>,true,false,sara-neall,,,true,false,,,,,fLnmeYC4L6us,,,
Recovery Dharma,recovery-dharma,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,5fa08c9f8a4f5bfcb2157a47,false,false,Mon Nov 02 2020 22:47:59 GMT+0000 (Coordinated Universal Time),Fri Aug 01 2025 02:10:40 GMT+0000 (Coordinated Universal Time),Fri Aug 01 2025 02:55:08 GMT+0000 (Coordinated Universal Time),community-groups-events,Buddhist Practices to Heal the Suffering of Addiction,"""This is a path to freedom from any repetitive and habitual behavior that causes suffering.""",Recovery Dharma Book,"<p>Recovery Dharma is a peer-led movement and community that is unified by our trust in the potential of each of us to recover and find freedom from the suffering of addiction.</p><p>We believe that recovery means empowerment, and we support each other as partners walking the path of recovery together.</p><p>Our program uses Buddhist practices and principles of meditation, self-inquiry, wisdom, compassion, and community as tools for recovery and healing.</p><p>Recovery Dharma welcomes anyone looking to heal from addiction and addictive behavior, whether caused by substance use or process addictions like codependency, gambling, eating disorders, relationships, technology, or any obsessive or habitual pattern that creates suffering.</p><p>Our meetings are open to anyone interested in recovery from addiction of all kinds. No meditation experience is necessary.</p>",,Every Sunday Morning,9:30-11:00 AM,Sundays | 9:30-11:00 am (CT) | Zoom Only,Online (Zoom),,Offered in the Spirit of Generosity (Dana),"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p id="""">As a RIM&nbsp;community member, you have access to this offering. A zoom link is accessible in your <a href=""/account/dashboard"" id="""">dashboard</a>.</p><p id="""">‍</p>",,false,group-facilitators,,,,false,sunday,7.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40a4c8f57372d4f9d2e6_Refuge%20Recovery.jpg,Sunday,,,https://us02web.zoom.us/j/5973559972,Join Zoom
